#north,south
117334,1705
125558,52188
127174,3989
128514,65026
131251,1628
135191,62046
136304,2533
146419,13247
149365,40020
150349,134500
156392,81462
160846,43102
167222,123449
168339,157834
183504,4938
198731,148885
200242,161430
242237,138864
250592,188399
261903,159193
304358,131854
311806,174196
315380,122937
345673,185263
353580,169540
402039,328522
408511,155869
412398,346943
414749,296905
417587,180354
423242,152599
427525,163141
430917,151666
431728,513504
434174,202312
436107,546015
437656,537196
438868,598698
439474,326983
440673,312625
451986,302013
453154,606744
455741,355684
456161,375386
457376,295321
458665,407111
458899,265051
459983,163203
462297,261820
464765,558014
464995,607090
465729,159832
466925,426869
468332,285612
469152,189453
469246,610034
471750,641727
475079,423555
475140,261773
478233,609936
479873,156896
480436,573677
481523,581808
483143,614999
484926,292275
486589,598676
492056,572726
492599,395046
495467,632263
496745,451047
500261,621086
501813,635043
502978,368103
504180,569695
507335,415413
508063,388178
520134,389927
520280,625141
520904,632423
522169,632684
522377,593699
523460,588063
524116,557859
527645,485062
527753,560297
528865,580481
533498,613296
538750,479398
542769,476770
546244,604070
548209,625779
549221,639055
552898,593248
553627,508550
556566,570357
560001,548425
563524,622985
564745,508259
570729,568783
576884,471068
585456,637482
598820,583957
598971,588947
600509,632464
601354,526406
616043,574214
624088,611025
627089,625607
